COD_DPTO,NOMBRE_DPT,Conteo_Nacimientos
5,ANTIOQUIA,74504
8,ATLANTICO,43800
11,SANTAFE DE BOGOTA D.C,103565
13,BOLIVAR,34179
15,BOYACA,13778
17,CALDAS,8758
18,CAQUETA,7034
19,CAUCA,15143
20,CESAR,22577
23,CORDOBA,26524
25,CUNDINAMARCA,20466
27,CHOCO,6663
41,HUILA,19268
44,LA GUAJIRA,21029
47,MAGDALENA,23938
50,META,15421
52,NARIÃ‘O,18224
54,NORTE DE SANTANDER,23431
63,QUINDIO,5887
66,RISARALDA,10637
68,SANTANDER,29562
70,SUCRE,16569
73,TOLIMA,15871
76,VALLE DEL CAUCA,50848
81,ARAUCA,5196
85,CASANARE,5976
86,PUTUMAYO,4029
88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,750
91,AMAZONAS,1382
94,GUAINIA,1018
95,GUAVIARE,1293
97,VAUPES,667
99,VICHADA,1128
